CountryCode,Year,Week,Sex,0-14,15-64,65-74,75-84,85+,Total,0-14,15-64,65-74,75-84,85+,Total,Split,SplitSex,Forecast
AUS,2015,36,b,29.4771978775961,587.522802122403,516,877,1464,3474,0.000340417922108006,0.00193752569957293,0.0133651795396465,0.0422123899498338,0.165972293933296,0.00758466953625178,1,0,0
AUS,2015,37,m,15.1742542092394,349.825745790761,313,445,530,1653,0.000341320709359273,0.00231351235543116,0.0164420343760652,0.0465849377039028,0.164251569635022,0.00726647563310118,1,0,0
AUS,2015,37,f,9.68798862828714,182.312011371713,200,392,914,1698,0.000229934234386076,0.00119923374047132,0.0102190907216188,0.03492688153703,0.16338958725531,0.00736512006890217,1,0,0
AUS,2015,37,b,24.8622428375265,532.137757162474,513,837,1444,3351,0.000287122035169024,0.00175487755792768,0.0132874750074393,0.0402870814002405,0.163704912868634,0.0073161276960218,1,0,0
AUS,2015,38,m,12.8751247835971,359.124875216403,292,449,608,1721,0.000289605450365444,0.00237501054725905,0.0153388946894921,0.0470036787169716,0.188424442147346,0.00756539901062742,1,0,0
AUS,2015,38,f,13.0675195451315,198.932480454869,186,386,798,1582,0.000310143851032381,0.00130856184867996,0.00950375437110552,0.0343922864114632,0.142653053205402,0.00686196698999013,1,0,0
AUS,2015,38,b,25.9426443287286,558.057355671272,478,835,1406,3303,0.000299599070204872,0.00184035490119332,0.0123809221316881,0.0401908159727608,0.159396888845775,0.00721133088032229,1,0,0
AUS,2015,39,m,15.9406306844535,326.059369315546,285,412,502,1541,0.000358559129023883,0.00215633751544061,0.0149711814606344,0.0431303243460853,0.155574128220342,0.00677413124658737,1,0,0
AUS,2015,39,f,11.9410092395167,209.058990760483,191,370,820,1602,0.000283407312150279,0.00137517321860755,0.00975923163914599,0.0329666994099518,0.146585844145902,0.00694871752083703,1,0,0
AUS,2015,39,b,27.8816399239702,535.118360076029,476,782,1322,3143,0.000321991593885368,0.00176470695471768,0.0123291191102166,0.0376397821445497,0.149873888374192,0.00686200816132394,1,0,0
AUS,2015,40,m,15.1742542092394,339.825745790761,266,453,474,1548,0.000341320709359273,0.0022473790766983,0.0139731026965921,0.0474224197300404,0.146896686805661,0.00680490277074448,1,0,0
AUS,2015,40,f,13.0675195451315,194.932480454869,187,364,793,1552,0.000310143851032381,0.00128225017055303,0.00955484982471361,0.032432104284385,0.141759237082561,0.00673184119371977,1,0,0
AUS,2015,40,b,28.2417737543709,534.75822624563,453,817,1267,3100,0.000326150605563984,0.00176351930966091,0.0117333843632943,0.0393244271254438,0.14363859044637,0.00676812768059313,1,0,0
AUS,2015,41,m,16.2471812745392,323.752818725461,306,439,503,1588,0.000365454496889727,0.00214108354013205,0.0160743211472075,0.0459568261842997,0.155884036842295,0.00698074005164227,1,0,0
AUS,2015,41,f,11.7157071783937,195.284292821606,188,327,755,1477,0.000278060004373859,0.0012845643639917,0.00960594527832171,0.0291354343433898,0.13496623454897,0.00640652670304388,1,0,0
AUS,2015,41,b,27.9628884529329,519.037111547067,494,766,1258,3065,0.000322929893906919,0.00171167440484298,0.01279534630346,0.0368696587247123,0.142618268967272,0.00669171333581224,1,0,0
AUS,2015,42,m,15.7873553894107,335.212644610589,282,416,457,1506,0.000355111445090961,0.00221687112608118,0.0148135900768383,0.0435490653591541,0.141628240232463,0.0066202736258018,1,0,0
AUS,2015,42,f,10.363894811656,213.636105188344,194,338,724,1480,0.000245976157715337,0.00140528110900154,0.00991251799997027,0.0301155254069289,0.129424574587357,0.00641953928267092,1,0,0
AUS,2015,42,b,26.1512502010667,548.848749798933,476,754,1181,2986,0.000302008158677113,0.00180998687041998,0.0123291191102166,0.0362920661598343,0.133888851868322,0.0065192352433068,1,0,0
AUS,2015,43,m,15.3275295042822,342.672470495718,278,417,442,1495,0.000344768393292195,0.00226620540053716,0.0146034682317767,0.0436537506124213,0.136979610903169,0.00657191837355491,1,0,0
AUS,2015,43,f,12.1663113006397,196.83368869936,182,304,723,1418,0.0002887546199267,0.00129475616539836,0.00929937255667314,0.0270861530287171,0.129245811362789,0.00615061263704551,1,0,0
AUS,2015,43,b,27.4938408049219,539.506159195078,460,721,1165,2913,0.000317513089149269,0.00177917698639477,0.0119146949384446,0.0347036866064198,0.132074947016591,0.0063598567527638,1,0,0
AUS,2015,44,m,14.2546024389825,314.745397561018,281,395,436,1441,0.000320634605761741,0.00208151451067881,0.0147610596155729,0.041350675040543,0.135120159171452,0.00633453804434289,1,0,0
AUS,2015,44,f,11.9410092395167,188.058990760483,191,347,716,1454,0.000283407312150279,0.00123703690844118,0.00975923163914599,0.0309174180952791,0.127994468790812,0.00630676359256994,1,0,0
AUS,2015,44,b,26.1956116784992,502.804388321501,472,742,1152,2895,0.000302520467955353,0.00165814232351784,0.0122255130672736,0.0357144735949563,0.130601149324561,0.00632055794687649,1,0,0
AUS,2015,45,m,16.2471812745392,338.752818725461,265,444,448,1512,0.000365454496889727,0.00224028345823135,0.0139205722353267,0.0464802524506356,0.138839062634887,0.00664664921793647,1,0,0
AUS,2015,45,f,12.8422174840085,186.157782515991,172,339,667,1377,0.000304796543255961,0.00122453091359584,0.0087884180205922,0.0302046245945234,0.119235070786971,0.00597277404880936,1,0,0
AUS,2015,45,b,29.0893987585477,524.910601241452,437,783,1115,2889,0.000335939417371906,0.00173104392920516,0.0113189601915223,0.0376879148582895,0.126406494354935,0.00630745834491405,1,0,0
AUS,2015,46,m,15.3275295042822,298.672470495718,262,404,440,1420,0.000344768393292195,0.00197521897411257,0.0137629808515306,0.0422928423199477,0.136359793659264,0.00624222347187155,1,0,0
AUS,2015,46,f,12.8422174840085,202.157782515991,172,303,664,1354,0.000304796543255961,0.00132977762610356,0.0087884180205922,0.0269970538411227,0.118698781113267,0.00587301093833542,1,0,0
AUS,2015,46,b,28.1697469882907,500.830253011709,434,707,1104,2774,0.00032531880322826,0.00165163204360472,0.0112412556593151,0.0340298286140622,0.125159434769371,0.00605638264063398,1,0,0
AUS,2015,47,m,15.9406306844535,328.059369315546,285,408,446,1483,0.000358559129023883,0.00216956417118718,0.0149711814606344,0.0427115833330165,0.138219245390981,0.00651916718928557,1,0,0
AUS,2015,47,f,14.8699360341151,196.130063965885,183,320,678,1392,0.000352922313243744,0.00129012777852103,0.00935046801028124,0.0285117400302286,0.121201466257221,0.00603783694694454,1,0,0
AUS,2015,47,b,30.8105667185686,524.189433281431,468,728,1124,2875,0.000355816354894332,0.00172866567009555,0.0121219070243306,0.0350406156025987,0.127426815834033,0.00627689260700169,1,0,0
AUS,2015,48,m,17.7799342249674,339.220065775033,253,405,449,1464,0.000399931336218946,0.00224337351616799,0.0132902067001421,0.0423975275732149,0.13914897125684,0.00643564448085912,1,0,0
AUS,2015,48,f,10.8144989339019,201.185501066098,164,314,704,1394,0.000256670773268177,0.00132338203696396,0.00837965439172745,0.0279771449046618,0.125849310095993,0.00604651200002923,1,0,0
AUS,2015,48,b,28.5944331588693,540.405566841131,417,719,1153,2858,0.000330223298707671,0.00178214304221818,0.0108009299768074,0.0346074211789402,0.130714518377794,0.00623977706810812,1,0,0
